weekDay,timeInHour,timeInMin,numOfpeople,numOfpeopleNextmin
1,9,0,0,5
1,9,1,5,8
1,9,2,8,3
1,9,3,3,5
1,9,4,5,0
1,9,5,0,6
1,9,6,6,2
1,9,7,2,2
1,9,8,2,4
1,9,9,4,2
1,9,10,2,2
1,9,11,2,2
1,9,12,2,14
1,9,13,14,5
1,9,14,5,5
1,9,15,5,12
1,9,16,12,13
1,9,17,13,5
1,9,18,5,9
1,9,19,9,11
1,9,20,11,11
1,9,21,11,13
1,9,22,13,14
1,9,23,14,11
1,9,24,11,7
1,9,25,7,9
1,9,26,9,14
1,9,27,14,7
1,9,28,7,8
1,9,29,8,13
1,9,30,13,14
1,9,31,14,8
1,9,32,8,6
1,9,33,6,13
1,9,34,13,6
1,9,35,6,6
1,9,36,6,17
1,9,37,17,14
1,9,38,14,10
1,9,39,10,12
1,9,40,12,10
1,9,41,10,18
1,9,42,18,24
1,9,43,24,21
1,9,44,21,21
1,9,45,21,21
1,9,46,21,22
1,9,47,22,23
1,9,48,23,17
1,9,49,17,13
1,9,50,13,17
1,9,51,17,11
1,9,52,11,11
1,9,53,11,14
1,9,54,14,12
1,9,55,12,5
1,9,56,5,9
1,9,57,9,11
1,9,58,11,8
1,9,59,8,5
1,10,0,0,36
1,10,1,36,30
1,10,2,30,37
1,10,3,37,31
1,10,4,31,30
1,10,5,30,34
1,10,6,34,44
1,10,7,44,40
1,10,8,40,42
1,10,9,42,43
1,10,10,43,39
1,10,11,39,38
1,10,12,38,47
1,10,13,47,46
1,10,14,46,46
1,10,15,46,48
1,10,16,48,50
1,10,17,50,48
1,10,18,48,46
1,10,19,46,51
1,10,20,51,48
1,10,21,48,46
1,10,22,46,53
1,10,23,53,50
1,10,24,50,42
1,10,25,42,38
1,10,26,38,43
1,10,27,43,35
1,10,28,35,35
1,10,29,35,41
1,10,30,41,43
1,10,31,43,38
1,10,32,38,42
1,10,33,42,40
1,10,34,40,39
1,10,35,39,40
1,10,36,40,30
1,10,37,30,37
1,10,38,37,36
1,10,39,36,36
1,10,40,36,30
1,10,41,30,31
1,10,42,31,43
1,10,43,43,41
1,10,44,41,35
1,10,45,35,43
1,10,46,43,38
1,10,47,38,44
1,10,48,44,47
1,10,49,47,51
1,10,50,51,47
